Date,Value,Country
1913-11-01,8.288,Belgium
1913-12-01,2.9760000000000004,Belgium
1914-01-01,-1.3960000000000004,Belgium
1914-02-01,06/05/2021,Belgium
1914-03-01,6.43,Belgium
1914-04-01,10.795,Belgium
1914-05-01,11.684,Belgium
1914-06-01,14.778,Belgium
1914-07-01,17.718,Belgium
1914-08-01,17.887,Belgium
1914-09-01,13.887,Belgium
1914-10-01,9.501,Belgium
1914-11-01,4.988,Belgium
1914-12-01,4.731,Belgium
1915-01-01,2.269,Belgium
1915-02-01,3.274,Belgium
1915-03-01,4.308999999999998,Belgium
1915-04-01,7.829,Belgium
1915-05-01,13.72,Belgium
1915-06-01,17.045,Belgium
1915-07-01,16.605999999999998,Belgium
1915-08-01,16.427,Belgium
1915-09-01,13.639,Belgium
1915-10-01,7.945,Belgium
1915-11-01,2.6830000000000003,Belgium
1915-12-01,5.4620000000000015,Belgium
1916-01-01,5.557,Belgium
1916-02-01,3.052,Belgium
1916-03-01,5.1960000000000015,Belgium
1916-04-01,9.126,Belgium
1916-05-01,13.838,Belgium
1916-06-01,02/13/2021,Belgium
1916-07-01,16.227999999999998,Belgium
1916-08-01,17.213,Belgium
1916-09-01,13.552999999999999,Belgium
1916-10-01,10.182,Belgium
1916-11-01,5.7730000000000015,Belgium
1916-12-01,2.447,Belgium
1917-01-01,-1.09,Belgium
1917-02-01,-1.787,Belgium
1917-03-01,2.398,Belgium
1917-04-01,5.219999999999999,Belgium
1917-05-01,15.720999999999998,Belgium
1917-06-01,18.464,Belgium
1917-07-01,17.46,Belgium
1917-08-01,16.739,Belgium
1917-09-01,15.315999999999999,Belgium
1917-10-01,7.966,Belgium
1917-11-01,6.6629999999999985,Belgium
1917-12-01,-0.7639999999999998,Belgium
1918-01-01,2.359,Belgium
1918-02-01,09/04/2021,Belgium
1918-03-01,5.6759999999999975,Belgium
1918-04-01,8.551,Belgium
1918-05-01,14.736999999999998,Belgium
1918-06-01,14.059000000000001,Belgium
1918-07-01,17.129,Belgium
1918-08-01,16.983,Belgium
1918-09-01,13.838,Belgium
1918-10-01,8.859,Belgium
1918-11-01,4.655,Belgium
1918-12-01,5.7120000000000015,Belgium
1919-01-01,1.8219999999999998,Belgium
1919-02-01,1.0199999999999998,Belgium
1919-03-01,4.603999999999999,Belgium
1919-04-01,6.603,Belgium
1919-05-01,13.745999999999999,Belgium
1919-06-01,15.639000000000001,Belgium
1919-07-01,14.468,Belgium
1919-08-01,17.37,Belgium
1919-09-01,15.274,Belgium
1919-10-01,6.884,Belgium
1919-11-01,2.434,Belgium
1919-12-01,3.548,Belgium
1920-01-01,3.824,Belgium
1920-02-01,5.428,Belgium
1920-03-01,7.8279999999999985,Belgium
1920-04-01,9.78,Belgium
1920-05-01,14.110999999999999,Belgium
1920-06-01,15.978,Belgium
1920-07-01,16.925,Belgium
1920-08-01,15.023,Belgium
1920-09-01,13.83,Belgium
1920-10-01,9.518,Belgium
1920-11-01,3.714,Belgium
1920-12-01,2.055,Belgium
1921-01-01,5.737,Belgium
1921-02-01,3.298,Belgium
1921-03-01,7.311,Belgium
1921-04-01,9.071,Belgium
1921-05-01,14.075999999999999,Belgium
1921-06-01,15.783,Belgium
1921-07-01,19.948,Belgium
1921-08-01,17.637999999999995,Belgium
1921-09-01,15.259,Belgium
1921-10-01,13.388,Belgium
1921-11-01,1.7990000000000002,Belgium
1921-12-01,2.6460000000000004,Belgium
1922-01-01,0.6659999999999999,Belgium
1922-02-01,2.242,Belgium
1922-03-01,5.119,Belgium
1922-04-01,6.653,Belgium
1922-05-01,14.527,Belgium
1922-06-01,16.021,Belgium
1922-07-01,15.847,Belgium
1922-08-01,15.699000000000002,Belgium
1922-09-01,12.558,Belgium
1922-10-01,6.7780000000000005,Belgium
1922-11-01,4.379,Belgium
1922-12-01,3.965,Belgium
1923-01-01,3.114,Belgium
1923-02-01,4.431,Belgium
1923-03-01,6.957999999999998,Belgium
1923-04-01,8.395999999999999,Belgium
1923-05-01,11.47,Belgium
1923-06-01,12.326,Belgium
1923-07-01,19.423,Belgium
1923-08-01,16.907,Belgium
1923-09-01,14.027999999999999,Belgium
1923-10-01,11.064,Belgium
1923-11-01,3.5490000000000004,Belgium
1923-12-01,1.0469999999999997,Belgium
1924-01-01,0.774,Belgium
1924-02-01,0.3330000000000002,Belgium
1924-03-01,4.395,Belgium
1924-04-01,7.5779999999999985,Belgium
1924-05-01,14.235,Belgium
1924-06-01,15.702,Belgium
1924-07-01,17.249000000000002,Belgium
1924-08-01,14.915,Belgium
1924-09-01,14.304,Belgium
1924-10-01,10.681,Belgium
1924-11-01,5.3740000000000006,Belgium
1924-12-01,3.278,Belgium
1925-01-01,3.5810000000000004,Belgium
1925-02-01,4.977,Belgium
1925-03-01,3.4839999999999995,Belgium
1925-04-01,8.679,Belgium
1925-05-01,13.98,Belgium
1925-06-01,15.74,Belgium
1925-07-01,18.365,Belgium
1925-08-01,16.787,Belgium
1925-09-01,11.989999999999998,Belgium
1925-10-01,10.189,Belgium
1925-11-01,3.055,Belgium
1925-12-01,1.64,Belgium
1926-01-01,2.227,Belgium
1926-02-01,6.82,Belgium
1926-03-01,6.162999999999999,Belgium
1926-04-01,10.303999999999998,Belgium
1926-05-01,11.167,Belgium
1926-06-01,14.204,Belgium
1926-07-01,17.855,Belgium
1926-08-01,17.088,Belgium
1926-09-01,16.149,Belgium
1926-10-01,8.841000000000003,Belgium
1926-11-01,7.0340000000000025,Belgium
1926-12-01,1.4939999999999998,Belgium
1927-01-01,3.277,Belgium
1927-02-01,3.262,Belgium
1927-03-01,7.286,Belgium
1927-04-01,8.652000000000001,Belgium
1927-05-01,12.575,Belgium
1927-06-01,14.607,Belgium
1927-07-01,17.573,Belgium
1927-08-01,17.169999999999998,Belgium
1927-09-01,14.375,Belgium
1927-10-01,10.201,Belgium
1927-11-01,4.684,Belgium
1927-12-01,-0.7380000000000004,Belgium
1928-01-01,3.45,Belgium
1928-02-01,4.920999999999999,Belgium
1928-03-01,5.6560000000000015,Belgium
1928-04-01,8.825999999999997,Belgium
1928-05-01,11.361999999999998,Belgium
1928-06-01,14.970999999999998,Belgium
1928-07-01,18.842,Belgium
1928-08-01,17.325,Belgium
1928-09-01,13.93,Belgium
1928-10-01,9.978,Belgium
1928-11-01,7.383999999999999,Belgium
1928-12-01,1.939,Belgium
1929-01-01,-1.885,Belgium
1929-02-01,-4.504,Belgium
1929-03-01,5.228,Belgium
1929-04-01,6.183,Belgium
1929-05-01,13.469,Belgium
1929-06-01,14.905,Belgium
1929-07-01,18.238,Belgium
1929-08-01,17.325,Belgium
1929-09-01,17.378999999999998,Belgium
1929-10-01,10.305,Belgium
1929-11-01,6.186,Belgium
1929-12-01,5.192,Belgium
1930-01-01,4.743,Belgium
1930-02-01,2.044,Belgium
1930-03-01,6.037000000000001,Belgium
1930-04-01,9.526,Belgium
1930-05-01,12.239,Belgium
1930-06-01,18.258,Belgium
1930-07-01,16.625,Belgium
1930-08-01,17.221999999999998,Belgium
1930-09-01,14.379,Belgium
1930-10-01,10.458,Belgium
1930-11-01,7.279,Belgium
1930-12-01,2.372,Belgium
1931-01-01,2.211,Belgium
1931-02-01,1.339,Belgium
1931-03-01,3.5649999999999995,Belgium
1931-04-01,7.576,Belgium
1931-05-01,14.46,Belgium
1931-06-01,16.743000000000002,Belgium
1931-07-01,17.099,Belgium
1931-08-01,15.92,Belgium
1931-09-01,11.594,Belgium
1931-10-01,8.902000000000003,Belgium
1931-11-01,7.0180000000000025,Belgium
1931-12-01,07/02/2021,Belgium
1932-01-01,3.763,Belgium
1932-02-01,0.5109999999999997,Belgium
1932-03-01,3.872,Belgium
1932-04-01,7.558,Belgium
1932-05-01,12.597,Belgium
1932-06-01,15.611,Belgium
1932-07-01,17.823999999999995,Belgium
1932-08-01,19.904,Belgium
1932-09-01,15.614,Belgium
1932-10-01,9.506,Belgium
1932-11-01,5.598,Belgium
1932-12-01,3.1660000000000004,Belgium
1933-01-01,-0.012000000000000007,Belgium
1933-02-01,2.625,Belgium
1933-03-01,7.459,Belgium
1933-04-01,8.934999999999997,Belgium
1933-05-01,12.665999999999999,Belgium
1933-06-01,15.42,Belgium
1933-07-01,18.87,Belgium
1933-08-01,18.592,Belgium
1933-09-01,15.474,Belgium
1933-10-01,10.21,Belgium
1933-11-01,4.102,Belgium
1933-12-01,-2.6039999999999996,Belgium
1934-01-01,1.944,Belgium
1934-02-01,2.339,Belgium
1934-03-01,5.090999999999998,Belgium
1934-04-01,10.817,Belgium
1934-05-01,13.134,Belgium
1934-06-01,16.57,Belgium
1934-07-01,18.804,Belgium
1934-08-01,17.082,Belgium
1934-09-01,16.643,Belgium
1934-10-01,11.025,Belgium
1934-11-01,5.181,Belgium
1934-12-01,6.72,Belgium
1935-01-01,1.8519999999999999,Belgium
1935-02-01,4.0139999999999985,Belgium
1935-03-01,5.537999999999999,Belgium
1935-04-01,8.344,Belgium
1935-05-01,11.370999999999999,Belgium
1935-06-01,17.208000000000002,Belgium
1935-07-01,18.58,Belgium
1935-08-01,17.846999999999994,Belgium
1935-09-01,14.792,Belgium
1935-10-01,9.559,Belgium
1935-11-01,6.979,Belgium
1935-12-01,09/02/2021,Belgium
1936-01-01,4.621,Belgium
1936-02-01,2.247,Belgium
1936-03-01,7.245999999999999,Belgium
1936-04-01,6.859999999999999,Belgium
1936-05-01,13.339,Belgium
1936-06-01,06/16/2021,Belgium
1936-07-01,16.964000000000002,Belgium
1936-08-01,17.332,Belgium
1936-09-01,14.734000000000002,Belgium
1936-10-01,7.995000000000001,Belgium
1936-11-01,5.22,Belgium
1936-12-01,2.8819999999999997,Belgium
1937-01-01,3.286,Belgium
1937-02-01,4.988,Belgium
1937-03-01,4.124,Belgium
1937-04-01,9.125,Belgium
1937-05-01,14.720999999999998,Belgium
1937-06-01,16.401,Belgium
1937-07-01,17.589000000000002,Belgium
1937-08-01,18.104,Belgium
1937-09-01,14.335,Belgium
1937-10-01,10.878,Belgium
1937-11-01,4.703,Belgium
1937-12-01,1.334,Belgium
1938-01-01,3.535,Belgium
1938-02-01,2.9410000000000003,Belgium
1938-03-01,8.782,Belgium
1938-04-01,6.6770000000000005,Belgium
1938-05-01,11.503,Belgium
1938-06-01,16.572,Belgium
1938-07-01,17.041,Belgium
1938-08-01,18.116,Belgium
1938-09-01,15.399,Belgium
1938-10-01,9.774,Belgium
1938-11-01,8.66,Belgium
1938-12-01,0.4769999999999999,Belgium
1939-01-01,4.192,Belgium
1939-02-01,3.65,Belgium
1939-03-01,4.635,Belgium
1939-04-01,9.812,Belgium
1939-05-01,11.905,Belgium
1939-06-01,16.737000000000002,Belgium
1939-07-01,17.264,Belgium
1939-08-01,17.942,Belgium
1939-09-01,14.831,Belgium
1939-10-01,8.193000000000001,Belgium
1939-11-01,7.723000000000001,Belgium
1939-12-01,0.8369999999999997,Belgium
1940-01-01,-5.233,Belgium
1940-02-01,0.43200000000000005,Belgium
1940-03-01,5.782,Belgium
1940-04-01,9.238999999999999,Belgium
1940-05-01,13.555,Belgium
1940-06-01,17.102,Belgium
1940-07-01,16.361,Belgium
1940-08-01,15.685,Belgium
1940-09-01,13.683,Belgium
1940-10-01,8.961,Belgium
1940-11-01,6.817,Belgium
1940-12-01,-0.13000000000000034,Belgium
1941-01-01,-2.236,Belgium
1941-02-01,2.231,Belgium
1941-03-01,5.903,Belgium
1941-04-01,7.3279999999999985,Belgium
1941-05-01,04/10/2021,Belgium
1941-06-01,17.094,Belgium
1941-07-01,19.121,Belgium
1941-08-01,15.616,Belgium
1941-09-01,14.705,Belgium
1941-10-01,9.681000000000001,Belgium
1941-11-01,4.6789999999999985,Belgium
1941-12-01,3.5439999999999996,Belgium
1942-01-01,-4.275,Belgium
1942-02-01,-3.5420000000000007,Belgium
1942-03-01,4.935,Belgium
1942-04-01,9.777,Belgium
1942-05-01,12.741,Belgium
1942-06-01,15.445,Belgium
1942-07-01,16.754,Belgium
1942-08-01,18.442999999999998,Belgium
1942-09-01,15.769,Belgium
1942-10-01,12.109000000000002,Belgium
1942-11-01,04/05/2021,Belgium
1942-12-01,3.8689999999999998,Belgium
1943-01-01,2.96,Belgium
1943-02-01,4.4830000000000005,Belgium
1943-03-01,7.122000000000001,Belgium
1943-04-01,11.015999999999998,Belgium
1943-05-01,01/14/2021,Belgium
1943-06-01,15.132,Belgium
1943-07-01,18.156,Belgium
1943-08-01,18.046,Belgium
1943-09-01,14.399,Belgium
1943-10-01,11.307,Belgium
1943-11-01,4.636,Belgium
1943-12-01,1.4699999999999998,Belgium
1944-01-01,4.388999999999999,Belgium
1944-02-01,0.8719999999999997,Belgium
1944-03-01,3.4369999999999994,Belgium
1944-04-01,10.319,Belgium
1944-05-01,12.411,Belgium
1944-06-01,14.773,Belgium
1944-07-01,17.639,Belgium
1944-08-01,19.947,Belgium
1944-09-01,13.663,Belgium
1944-10-01,9.308,Belgium
1944-11-01,5.791,Belgium
1944-12-01,2.0269999999999997,Belgium
1945-01-01,-2.9430000000000005,Belgium
1945-02-01,5.9879999999999995,Belgium
1945-03-01,7.693,Belgium
1945-04-01,10.71,Belgium
1945-05-01,14.800999999999998,Belgium
1945-06-01,17.085,Belgium
1945-07-01,18.779,Belgium
1945-08-01,16.939999999999998,Belgium
1945-09-01,15.328,Belgium
1945-10-01,11.429,Belgium
1945-11-01,5.274,Belgium
1945-12-01,03/03/2021,Belgium
1946-01-01,-0.14400000000000013,Belgium
1946-02-01,4.739,Belgium
1946-03-01,5.292000000000002,Belgium
1946-04-01,10.808,Belgium
1946-05-01,13.379,Belgium
1946-06-01,14.892,Belgium
1946-07-01,18.395,Belgium
1946-08-01,16.564,Belgium
1946-09-01,15.145999999999999,Belgium
1946-10-01,9.422,Belgium
1946-11-01,6.305,Belgium
1946-12-01,-0.28000000000000025,Belgium
1947-01-01,-1.3260000000000003,Belgium
1947-02-01,-3.681,Belgium
1947-03-01,4.709999999999999,Belgium
1947-04-01,04/10/2021,Belgium
1947-05-01,15.414,Belgium
1947-06-01,18.065,Belgium
1947-07-01,19.639,Belgium
1947-08-01,20.504,Belgium
1947-09-01,17.541999999999998,Belgium
1947-10-01,10.096,Belgium
1947-11-01,6.763,Belgium
1947-12-01,3.34,Belgium
1948-01-01,4.984999999999999,Belgium
1948-02-01,2.76,Belgium
1948-03-01,8.202,Belgium
1948-04-01,10.366,Belgium
1948-05-01,13.771999999999998,Belgium
1948-06-01,15.83,Belgium
1948-07-01,16.785,Belgium
1948-08-01,16.86,Belgium
1948-09-01,14.625,Belgium
1948-10-01,9.759,Belgium
1948-11-01,5.76,Belgium
1948-12-01,3.16,Belgium
1949-01-01,3.305,Belgium
1949-02-01,3.97,Belgium
1949-03-01,4.3919999999999995,Belgium
1949-04-01,11.372,Belgium
1949-05-01,12.079,Belgium
1949-06-01,14.949000000000002,Belgium
1949-07-01,18.603,Belgium
1949-08-01,17.958,Belgium
1949-09-01,18.095,Belgium
1949-10-01,11.949000000000002,Belgium
1949-11-01,4.962,Belgium
1949-12-01,3.821,Belgium
1950-01-01,0.977,Belgium
1950-02-01,5.523,Belgium
1950-03-01,6.912999999999999,Belgium
1950-04-01,7.9849999999999985,Belgium
1950-05-01,13.844,Belgium
1950-06-01,18.351,Belgium
1950-07-01,18.63,Belgium
1950-08-01,18.048,Belgium
1950-09-01,13.782,Belgium
1950-10-01,9.378,Belgium
1950-11-01,5.917000000000002,Belgium
1950-12-01,-1.3980000000000001,Belgium
1951-01-01,3.589,Belgium
1951-02-01,3.84,Belgium
1951-03-01,4.481999999999998,Belgium
1951-04-01,7.842999999999999,Belgium
1951-05-01,12.232,Belgium
1951-06-01,15.632,Belgium
1951-07-01,17.58,Belgium
1951-08-01,17.211,Belgium
1951-09-01,15.718,Belgium
1951-10-01,8.995000000000003,Belgium
1951-11-01,8.134,Belgium
1951-12-01,3.725,Belgium
1952-01-01,1.814,Belgium
1952-02-01,1.7839999999999998,Belgium
1952-03-01,6.084,Belgium
1952-04-01,11.312,Belgium
1952-05-01,14.248,Belgium
1952-06-01,16.41,Belgium
1952-07-01,18.895,Belgium
1952-08-01,18.122,Belgium
1952-09-01,11.841,Belgium
1952-10-01,8.749,Belgium
1952-11-01,3.357,Belgium
1952-12-01,1.3249999999999995,Belgium
1953-01-01,0.29899999999999993,Belgium
1953-02-01,1.999,Belgium
1953-03-01,6.1739999999999995,Belgium
1953-04-01,9.721,Belgium
1953-05-01,14.15,Belgium
1953-06-01,16.064,Belgium
1953-07-01,17.548,Belgium
1953-08-01,17.503,Belgium
1953-09-01,14.864,Belgium
1953-10-01,11.537,Belgium
1953-11-01,6.26,Belgium
1953-12-01,5.109,Belgium
1954-01-01,-0.665,Belgium
1954-02-01,0.109,Belgium
1954-03-01,6.731,Belgium
1954-04-01,7.375999999999999,Belgium
1954-05-01,13.073,Belgium
1954-06-01,15.72,Belgium
1954-07-01,15.24,Belgium
1954-08-01,16.442999999999998,Belgium
1954-09-01,14.155,Belgium
1954-10-01,11.617,Belgium
1954-11-01,6.5840000000000005,Belgium
1954-12-01,09/04/2021,Belgium
1955-01-01,0.6789999999999999,Belgium
